Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
Kotak Flexicap Fund(G),Equity : Flexi Cap,Harsha Upadhyaya,Open Ended,NIFTY 500 NA TRI,49130.0,1.47,79.98,7.42,15.92,21.32,13.71,10.95,228863,3.105,2.595,7.065,0.07,0.21,0.41,0.94,13.99,15
Kotak Floating Rate FundNAReg(G),Debt : Floater,Deepak Agrawal,Open Ended,NIFTY Ultra Short Duration Debt Index,3218.1,0.63,1494.22,9.12,7.13,7.17,10.335,0.0,160311,4.55,1.72,7.64,0.15,0.75,0.9,0.25,1.11,5
Kotak Focused Equity FundNAReg(G),Equity : Multi Cap,Shibani Kurian,Open Ended,NIFTY 500 NA TRI,3335.5,1.9,23.59,6.26,13.78,21.08,10.335,36.21,272162,3.105,2.595,7.065,0.15,0.17,0.32,0.93,13.85,5
Kotak Gilt FundNAPF&Trust(G),Debt : Gilt,Abhishek Bisen,Open Ended,Nifty All Duration GNASec Index,3934.2,1.48,99.99,11.86,7.88,6.21,7.43,0.0,160311,28.66,11.66,7.01,0.06,0.42,0.97,0.69,2.5,21
Kotak Gilt FundNAReg(G),Debt : Gilt,Abhishek Bisen,Open Ended,Nifty All Duration GNASec Index,3934.2,1.48,97.73,11.86,7.88,6.21,7.42,0.0,160311,28.66,11.66,7.01,0.06,0.42,0.97,0.69,2.5,26
Kotak Gold ETF,Gold : ETFs,Abhishek Bisen,Open Ended,GoldNAIndia,7167.1,0.55,79.13,30.97,20.53,14.02,12.35,27.18,160311,3.105,2.595,7.065,0.85,0.34,0.84,1.0,12.33,17
Kotak Gold Fund(G),Gold : MFs,Abhishek Bisen,Open Ended,GoldNAIndia,2834.9,0.5,36.62,29.62,20.08,12.99,11.98,0.1,160311,3.105,2.595,7.065,0.89,0.34,0.87,0.81,12.0,14
Kotak Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Shibani Kurian,Open Ended,Nifty Healthcare Index NA TRI,411.5,2.39,12.99,14.26,12.555,15.835,10.335,38.54,61017,3.105,2.595,7.065,0.15,0.27,0.51,1.0,16.93,1
Kotak Income Plus Arbitrage FOFNAReg(G),FoFs : Domestic,Abhishek Bisen,Open Ended,NIFTY Composite Debt Index,775.8,0.3,12.21,11.07,12.555,15.835,10.335,20.84,160311,3.105,2.595,6.46,0.22,0.95,1.26,0.33,1.33,2
Kotak India EQ Contra Fund(G),Equity : Value / Contra,Shibani Kurian,Open Ended,NIFTY 500 NA TRI,3934.5,1.88,140.19,5.49,19.56,25.62,14.87,38.07,154569,3.105,2.595,7.065,0.36,0.28,0.55,0.99,14.81,19
Kotak Infra & Eco Reform Fund(G),Equity : Sectoral NA Infrastructure,Nalin Rasik Bhatt,Open Ended,Nifty Infrastructure NA TRI,2132.7,2.02,59.17,8.43,21.93,31.29,14.83,21.47,50108,3.105,2.595,7.065,0.31,0.28,0.49,0.92,17.6,17
Kotak Liquid FundNAReg(G),Debt : Liquid,Deepak Agrawal,Open Ended,Nifty Liquid Fund Index,31250.9,0.31,5222.31,7.24,6.76,5.39,6.22,0.0,160311,0.2,0.2,7.03,0.15,2.4,0.95,0.3,0.31,21
Kotak Long Duration FundNAReg(G),Debt : Long Duration,Abhishek Bisen,Open Ended,NIFTY Long Duration Debt Index,151.4,0.62,11.22,13.27,12.555,15.835,10.335,0.0,160311,24.59,11.44,6.98,0.15,0.58,1.44,1.38,3.44,1
Kotak Low Duration Fund(G),Debt : Low Duration,Deepak Agrawal,Open Ended,CRISIL Long Duration Debt Index,11266.2,1.17,3307.53,7.73,6.56,6.13,6.99,0.0,160311,1.71,0.98,7.57,0.05,0.94,0.86,0.76,0.74,17
Kotak Manufacture in India FundNAReg(G),Equity : Thematic,Harsha Upadhyaya,Open Ended,Nifty India Manufacturing NA TRI,2266.1,1.98,17.22,3.99,17.92,15.835,10.335,20.67,81313,3.105,2.595,7.065,0.15,0.26,0.5,0.93,14.85,3
Kotak Medium Term Fund(G),Debt : Medium Duration,Deepak Agrawal,Open Ended,CRISIL Medium Duration Debt Index,1766.0,1.63,22.5,9.86,7.02,7.42,7.11,0.0,160311,5.24,3.56,8.18,0.06,0.46,0.87,0.49,1.73,11
Kotak MNC FundNAReg(G),Equity : Thematic NA MNC,Harsha Upadhyaya,Open Ended,NIFTY MNC NA TRI,2092.7,2.0,9.3,8.43,12.555,15.835,10.335,20.84,86922,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Money Market Fund(G),Debt : Money Market,Deepak Agrawal,Open Ended,CRISIL Money Market Index,25007.9,0.36,4444.12,7.99,7.14,6.0,6.77,0.0,160311,0.86,0.86,7.17,0.14,1.65,0.98,0.53,0.52,21
Kotak MSCI India ETF,Equity : ETFs,Devender Singhal,Open Ended,MSCI India,1018.0,0.4,28.53,8.43,12.555,15.835,10.335,0.96,315737,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Devender Singhal,Open Ended,NIFTY 500 NA TRI,7642.9,1.75,12.51,6.67,12.555,15.835,10.335,153.99,134078,9.14,5.35,6.83,0.23,0.32,0.64,0.65,9.74,1
Kotak Multi Asset Allocator FoFNADynamic(G),FoFs : Domestic,Devender Singhal,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,1651.6,0.97,223.16,9.63,18.22,22.1,14.23,37.81,160311,3.105,2.595,7.065,0.6,0.38,0.8,0.68,9.53,20
Kotak Multicap FundNAReg(G),Equity : Multi Cap,Devender Singhal,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,15871.0,1.65,17.64,5.44,22.27,15.835,10.335,40.97,74191,3.105,2.595,7.065,0.45,0.3,0.61,1.01,16.31,3
Kotak Nifty 100 Equal Weight ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty100 Equal Weight NA TRI,0.7,0.25,31.14,8.43,12.555,15.835,10.335,274.15,186591,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty 100 Equal Weight Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty100 Equal Weight NA TRI,9.1,0.72,9.89,8.43,12.555,15.835,10.335,72.36,187080,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty 100 Low Volatility 30 ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty100 Low Volatility 30 NA TRI,162.9,0.09,20.14,9.54,16.1,15.835,10.335,44.2,303515,3.105,2.595,7.065,0.15,0.26,0.55,1.0,12.36,3
Kotak NIFTY 100 Low Volatility 30 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty100 Low Volatility 30 NA TRI,102.3,0.95,10.36,8.43,12.555,15.835,10.335,49.75,303514,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty 1D Rate Liquid ETF,Debt : Liquid,Abhishek Bisen,Open Ended,Nifty 1D Rate Index,1294.2,0.19,1047.68,6.39,12.555,15.835,10.335,0.0,160311,0.01,0.01,6.79,0.08,7.61,0.76,0.53,0.09,2
Kotak Nifty 200 Momentum 30 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty200 Momentum 30 NA TRI,350.7,0.79,13.82,8.43,12.555,15.835,10.335,131.3,162580,3.105,2.595,7.065,0.15,0.19,0.33,0.99,20.04,1
Kotak Nifty 50 Equal Weight Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,NIFTY50 Equal Weight NA TRI,11.3,0.72,10.22,8.43,12.555,15.835,10.335,36.06,276404,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty 50 ETF,Equity : ETFs,Devender Singhal,Open Ended,NIFTY 50 NA TRI,2879.9,0.04,265.27,8.74,13.65,20.99,12.64,28.02,541621,3.105,2.595,7.065,0.15,0.18,0.36,1.0,13.01,15
Kotak Nifty 50 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,NIFTY 50 NA TRI,808.0,0.35,15.71,8.0,13.0,15.835,10.335,45.16,541620,2.83,2.595,7.065,0.15,0.16,0.33,1.0,13.02,3
Kotak Nifty 50 Value 20 ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty50 Value 20 NA TRI,111.3,0.14,145.33,3.43,14.94,23.55,10.335,29.74,471877,3.105,2.595,7.065,0.15,0.2,0.42,1.0,13.63,9
Kotak Nifty AAA Bond Jun 2025 HTM Index FundNAReg(G),Debt : Short Duration,Abhishek Bisen,Open Ended,Nifty AAA Bond Jun 2025 HTM Index,322.0,0.23,10.83,7.57,12.555,15.835,10.335,0.0,160311,0.14,0.12,7.18,0.29,4.4,1.01,0.94,0.23,1
Kotak Nifty Alpha 50 ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty Alpha 50 NA TRI,553.0,0.3,45.76,8.43,11.05,15.835,10.335,214.05,60378,3.105,2.595,7.065,0.15,0.08,0.13,1.0,24.91,3
Kotak Nifty Bank ETF,Equity : ETFs,Devender Singhal,Open Ended,NIFTY BANK NA TRI,4935.1,0.15,565.85,12.84,15.81,21.03,12.01,37.37,503473,3.105,2.595,7.065,0.15,0.17,0.36,1.0,15.68,10
Kotak Nifty Commodities Index FundNAReg(G),Equity : Thematic,Devender Singhal,Open Ended,NIFTY COMMODITIES NA TRI,4.8,0.48,10.63,8.43,12.555,15.835,10.335,50.43,212666,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty Financial Services ExNABank Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Financial Services ExNABank NA TRI,43.6,0.74,14.03,18.29,12.555,15.835,10.335,52.62,132859,3.105,2.595,7.065,0.15,0.29,0.62,1.0,15.39,1
Kotak Nifty GNASec July 2033 Index FundNAReg(G),Debt : Long Duration,Abhishek Bisen,Open Ended,Nifty GNASec July 2033 Index,19.6,0.39,11.74,12.12,12.555,15.835,10.335,0.0,160311,7.12,5.37,6.69,0.03,1.06,1.72,0.9,1.8,1
Kotak NIFTY India Consumption ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty India Consumption NA TRI,5.9,0.1,115.06,10.21,12.555,15.835,10.335,42.37,255169,3.105,2.595,7.065,0.15,0.27,0.5,0.95,13.38,2
Kotak Nifty India Tourism Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty India Tourism Index NA TRI,26.6,0.96,9.65,8.43,12.555,15.835,10.335,24.06,60638,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty IT ETF,Equity : ETFs,Devender Singhal,Open Ended,NIFTY IT NA TRI,156.4,0.09,38.5,9.27,6.24,15.835,10.335,103.41,375881,3.105,2.595,7.065,0.15,0.03,0.05,1.0,21.49,4
Kotak Nifty Midcap 150 ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty Midcap 150 NA TRI,0.8,0.1,20.07,8.43,12.555,15.835,10.335,133.87,55041,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty Midcap 150 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Midcap 150 NA TRI,7.2,0.78,10.19,8.43,12.555,15.835,10.335,11.14,55282,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak NIFTY Midcap 150 Momentum 50 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Midcap150 Momentum 50 NA TRI,95.8,0.93,8.71,8.43,12.555,15.835,10.335,47.27,66476,3.105,2.595,6.29,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty Midcap 50 ETF,Equity : ETFs,Devender Singhal,Open Ended,Nifty Midcap 50 NA TRI,53.2,0.05,155.48,9.4,23.74,15.835,10.335,112.3,65742,3.105,2.595,7.065,0.15,0.29,0.56,1.0,17.71,3
Kotak NIFTY Midcap 50 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Midcap 50 NA TRI,48.7,0.88,9.36,8.43,12.555,15.835,10.335,55.06,65744,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak NIFTY MNC ETF,Equity : ETFs,Devender Singhal,Open Ended,NIFTY MNC NA TRI,31.6,0.3,27.43,0.4,12.555,15.835,10.335,31.39,125480,3.105,2.595,7.065,0.15,0.21,0.38,1.0,13.07,2
Kotak Nifty Next 50 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,NIFTY NEXT 50 NA TRI,559.7,0.58,18.33,0.63,14.87,15.835,10.335,73.53,134057,3.105,2.595,7.065,0.15,0.17,0.3,0.99,19.92,4
Kotak Nifty PSU Bank ETF,Equity : ETFs,Devender Singhal,Open Ended,NIFTY PSU BANK NA TRI,1375.1,0.49,651.22,8.43,34.21,37.8,6.79,52.56,170699,3.105,2.595,7.065,0.15,0.29,0.68,1.0,28.39,17
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index FundNAReg(G),Debt : Medium to Long Duration,Abhishek Bisen,Open Ended,Nifty SDL Apr 2027 Top 12 Equal Weight Index,7713.7,0.35,12.14,9.14,7.12,15.835,10.335,0.0,160311,1.89,1.72,6.84,0.01,0.36,0.52,0.59,2.12,3
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index FundNAReg(G),Debt : Long Duration,Abhishek Bisen,Open Ended,Nifty SDL Apr 2032 Top 12 Equal Weight Index,2942.6,0.36,12.69,11.63,8.25,15.835,10.335,0.0,160311,6.75,5.15,7.05,0.03,0.41,0.75,0.84,2.83,3
Kotak Nifty SDL Jul 2026 Index FundNAReg(G),Debt : Medium to Long Duration,Abhishek Bisen,Open Ended,Nifty SDL Jul 2026 Index,105.8,0.41,11.85,8.27,12.555,15.835,10.335,0.0,160311,1.16,1.07,6.77,0.15,1.11,1.14,0.27,0.86,2
Kotak Nifty SDL Jul 2033 Index FundNAReg(G),Debt : Long Duration,Abhishek Bisen,Open Ended,Nifty SDL Jul 2033 Index,230.2,0.43,12.3,12.1,12.555,15.835,10.335,0.0,160311,7.57,5.6,7.02,0.04,0.65,1.4,0.87,2.43,2
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index FundNAReg(G),Debt : Medium to Long Duration,Abhishek Bisen,Open Ended,Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index,567.1,0.4,12.25,9.86,12.555,15.835,10.335,0.0,160311,2.91,2.5,7.06,0.11,0.91,1.36,0.47,1.27,2
Kotak Nifty Smallcap 250 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Smallcap 250 NA TRI,20.5,0.73,9.94,8.43,12.555,15.835,10.335,19.59,16972,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Nifty Smallcap 50 Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Smallcap 50 NA TRI,111.4,0.89,18.3,2.61,12.555,15.835,10.335,85.18,20828,0.01,0.01,6.78,0.15,0.38,0.71,0.99,21.11,1
Kotak Nifty Top 10 Equal Weight Index FundNAReg(G),Equity : Index Funds,Devender Singhal,Open Ended,Nifty Top 10 Equal Weight NA TRI,756.8,1.04,27.62,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Kotak Overnight FundNAReg(G),Debt : Overnight,Deepak Agrawal,Open Ended,Nifty 1D Rate Index,3498.6,0.16,1360.86,6.51,6.26,4.97,10.335,0.0,160311,0.01,0.01,7.19,0.01,2.84,0.9,0.92,0.21,6
Kotak Pioneer FundNAReg(G),Equity : Thematic,Harish Bihani,Open Ended,NIFTY 500 NA TRI,2554.3,1.89,28.42,10.19,17.81,27.34,10.335,22.75,93620,3.105,2.595,7.065,0.24,0.23,0.43,0.92,14.81,5
Kotak Quant FundNAReg(G),Equity : Thematic,Harsha Upadhyaya,Open Ended,NIFTY 200 NA TRI,672.4,1.46,14.3,1.32,12.555,15.835,10.335,191.82,98358,3.105,2.595,7.065,0.33,0.3,0.6,1.2,17.68,1
Kotak Savings Fund(G),Debt : Ultra Short Duration,Deepak Agrawal,Open Ended,NIFTY Ultra Short Duration Debt Index,11872.8,0.81,42.41,7.37,6.6,5.62,6.58,0.0,160311,0.54,0.51,7.32,0.11,1.47,0.88,0.51,0.49,20
Kotak Silver ETF,Gold : ETFs,Jeetu Valechha Sonar,Open Ended,Silver,1255.8,0.45,92.42,19.21,12.555,15.835,10.335,7.19,160311,3.105,2.595,7.065,0.86,0.16,0.35,0.1,19.49,2
Kotak Silver ETF FoFNAReg(G),Gold : MFs,Jeetu Valechha Sonar,Open Ended,Silver,83.0,0.6,12.72,18.59,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.01,0.16,0.32,0.94,17.9,2
Kotak Small Cap Fund(G),Equity : Small Cap,Harish Bihani,Open Ended,Nifty Smallcap 250 NA TRI,15706.5,1.67,236.94,3.35,13.11,32.13,16.96,25.97,17222,3.105,2.595,7.065,0.15,0.16,0.29,0.78,17.01,20
Kotak Special Opportunities FundNAReg(G),Equity : Thematic,Devender Singhal,Open Ended,NIFTY 500 NA TRI,1928.4,2.03,8.97,8.43,12.555,15.835,10.335,8.45,44843,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Kotak Technology FundNAReg(G),Equity : Sectoral NA Technology,Shibani Kurian,Open Ended,BSE TECk Index NA TRI,537.8,2.41,10.92,12.34,12.555,15.835,10.335,16.93,251060,3.105,2.595,7.065,0.22,0.09,0.19,1.04,19.76,1
Kotak Transportation & Logistics FundNAReg(G),Equity : Sectoral NA Auto,Nalin Rasik Bhatt,Open Ended,Nifty Transportation & Logistics NA TRI,359.8,2.41,9.3,8.43,12.555,15.835,10.335,20.84,55484,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
LIC MF Aggressive Hybrid Fund(G),Hybrid : Equity Oriented,Karan Doshi,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,497.2,2.49,185.92,6.53,12.0,14.06,8.11,54.0,98553,0.74,0.16,3.91,0.15,0.18,0.33,1.07,10.9,34
LIC MF Arbitrage FundNAReg(G),Hybrid : Arbitrage,Sumit Bhatnagar,Open Ended,Nifty 50 Arbitrage,329.1,0.99,13.7,7.06,6.35,4.99,10.335,231.0,273417,3.105,2.595,7.065,0.04,1.16,0.88,0.59,0.54,6
LIC MF Balanced Advantage FundNAReg(G),Hybrid : Equity Oriented,Yogesh Patil,Open Ended,NIFTY 50,756.8,2.31,13.33,9.98,10.41,15.835,10.335,56.0,157726,6.88,4.83,6.88,0.1,0.22,0.47,0.55,7.49,3
LIC MF Banking & Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Jaiprakash Toshniwal,Open Ended,Nifty Financial Services NA TRI,253.9,2.42,19.85,4.4,14.76,17.72,7.25,50.0,163852,3.105,2.595,7.065,0.15,0.17,0.35,0.97,16.09,10
LIC MF Banking & PSU FundNAReg(G),Debt : Banking & PSU,Marzban Irani,Open Ended,NIFTY Banking and PSU Debt Index,1701.8,0.78,34.56,9.49,6.84,5.98,6.75,0.0,160311,4.81,3.8,7.07,0.09,0.57,0.93,0.36,1.31,17
LIC MF BSE Sensex ETF,Equity : ETFs,Sumit Bhatnagar,Open Ended,BSE SENSEX NA TRI,766.9,0.1,891.46,8.67,13.31,20.17,10.335,10.0,670147,3.105,2.595,7.065,0.15,0.17,0.35,1.0,12.77,9
LIC MF BSE Sensex Index FundNAReg(G),Equity : Index Funds,Sumit Bhatnagar,Open Ended,BSE SENSEX NA TRI,84.1,1.08,149.54,7.58,12.22,18.96,11.35,12.0,669893,3.105,2.595,7.065,0.15,0.15,0.3,1.0,12.74,22
LIC MF Childrens FundNAReg(G),Hybrid : Solution Oriented,Nikhil Rungta,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,14.8,2.45,30.37,1.49,9.84,13.56,7.86,102.0,20254,2.39,1.73,7.065,0.15,0.14,0.24,1.27,13.7,23
LIC MF Conservative Hybrid Fund(G),Hybrid : Debt Oriented (Conservative),Pratik Shroff,Open Ended,CRISIL Hybrid 85+15 NA Conservative Index,50.2,2.25,80.64,8.43,6.57,6.91,6.38,0.0,288741,5.7,4.51,6.76,0.15,0.16,0.33,0.94,3.76,26
LIC MF Dividend Yield FundNAReg(G),Equity : Thematic NA Dividend Yield,Dikshit Mittal,Open Ended,NIFTY 500 NA TRI,490.4,2.38,28.53,9.16,19.22,24.06,10.335,65.0,64866,3.105,2.595,7.065,0.28,0.25,0.48,1.07,16.39,6
LIC MF ELSS Tax SaverNAReg(G),Equity : Tax Saving (ELSS),Yogesh Patil,Open Ended,NIFTY 500 NA TRI,1088.4,2.16,146.31,12.02,14.89,20.56,11.57,8.0,161073,3.105,2.595,7.065,0.11,0.21,0.4,0.89,14.17,27
LIC MF Equity Savings Fund(G),Hybrid : Equity Oriented,Sumit Bhatnagar,Open Ended,NIFTY 50 Equity Savings Index,19.1,2.32,26.76,7.98,8.72,10.34,6.73,78.0,87743,0.07,0.05,6.79,0.15,0.18,0.37,1.01,6.54,14
LIC MF Flexi Cap FundNAReg(G),Equity : Flexi Cap,Nikhil Rungta,Open Ended,NIFTY 500 NA TRI,919.6,2.31,87.94,8.43,11.37,15.33,8.31,120.0,28928,3.105,2.595,7.065,0.15,0.15,0.26,0.96,15.1,27
LIC MF Focused FundNAReg(G),Equity : Large Cap,Jaiprakash Toshniwal,Open Ended,NIFTY 500 NA TRI,127.2,2.52,20.3,7.87,11.08,18.37,10.335,131.0,30508,3.105,2.595,7.065,0.15,0.13,0.24,0.93,14.4,7
LIC MF Gilt FundNAPF(G),Debt : Gilt,Marzban Irani,Open Ended,Nifty All Duration GNASec Index,86.8,1.48,34.96,11.38,7.25,5.71,6.98,0.0,160311,28.56,11.04,7.0,0.15,0.35,0.91,0.68,2.44,21
LIC MF Gilt FundNAReg(G),Debt : Gilt,Marzban Irani,Open Ended,Nifty All Duration GNASec Index,86.8,1.48,60.53,11.38,7.25,5.71,6.96,0.0,160311,28.56,11.04,7.0,0.15,0.35,0.91,0.68,2.44,25
LIC MF Gold ETF,Gold : ETFs,Sumit Bhatnagar,Open Ended,GoldNAIndia,293.6,0.41,8606.51,31.48,21.36,14.5,12.71,20.84,160311,3.105,2.595,7.065,0.86,0.34,0.82,1.4,13.01,13
LIC MF Gold ETF FoF(G),Gold : MFs,Sumit Bhatnagar,Open Ended,GoldNAIndia,103.7,0.66,25.08,30.2,20.89,13.91,11.47,20.84,160311,3.105,2.595,7.065,0.86,0.34,0.9,1.16,12.29,12
LIC MF Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Karan Doshi,Open Ended,BSE Health Care NA TRI,82.7,2.45,28.03,15.66,15.96,17.31,10.335,39.0,45917,3.105,2.595,7.065,0.15,0.22,0.45,0.93,15.34,6
LIC MF Infra FundNAReg(G),Equity : Sectoral NA Infrastructure,Yogesh Patil,Open Ended,Nifty Infrastructure NA TRI,873.9,2.22,43.58,6.23,24.66,30.71,13.87,35.0,21722,3.105,2.595,7.065,0.45,0.29,0.53,0.98,19.81,17
LIC MF Large & Midcap FundNAReg(G),Equity : Large & Mid Cap,Yogesh Patil,Open Ended,NIFTY LargeMidcap 250 NA TRI,2859.4,1.92,36.28,10.16,14.92,22.3,14.18,47.0,86644,3.105,2.595,7.065,0.15,0.19,0.37,0.97,15.58,10
LIC MF Large Cap FundNAReg(G),Equity : Large Cap,Nikhil Rungta,Open Ended,NIFTY 100 NA TRI,1379.1,2.14,54.07,8.3,11.3,17.24,10.35,84.0,255226,3.105,2.595,7.065,0.15,0.13,0.24,0.98,13.91,27
LIC MF Liquid FundNAReg(G),Debt : Liquid,Rahul Singh,Open Ended,CRISIL Liquid Debt Index,9366.7,0.3,4671.32,7.24,6.77,5.4,6.23,0.0,160311,0.17,0.16,8.34,0.15,2.36,0.96,1.15,0.31,23
LIC MF Low Duration Fund(G),Debt : Low Duration,Rahul Singh,Open Ended,CRISIL Low Duration Debt Index,1449.5,0.96,39.15,7.58,6.41,5.89,6.13,0.0,160311,1.21,1.09,8.06,0.15,1.08,0.86,1.29,0.6,21
LIC MF Manufacturing FundNAReg(G),Equity : Thematic,Yogesh Patil,Open Ended,Nifty India Manufacturing NA TRI,768.3,2.26,8.75,8.43,12.555,15.835,10.335,20.84,27723,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
LIC MF Medium to Long Duration FundNAReg(G),Debt : Medium to Long Duration,Marzban Irani,Open Ended,CRISIL Medium to Long Term Debt Index,190.8,1.22,72.28,11.11,7.85,5.82,6.44,0.0,160311,8.08,6.04,6.96,0.01,0.41,0.85,0.79,2.49,25
LIC MF Midcap Fund(G),Equity : Mid Cap,Karan Doshi,Open Ended,Nifty Midcap 150 NA TRI,301.6,2.48,26.64,7.57,17.28,25.04,10.335,62.0,40860,3.105,2.595,7.065,0.15,0.22,0.4,0.97,17.53,8
LIC MF Money Market FundNAReg(G),Debt : Money Market,Rahul Singh,Open Ended,Nifty Money Market Index,152.3,0.49,1176.31,6.28,12.555,15.835,10.335,0.0,160311,0.58,0.58,7.32,0.04,1.62,0.75,0.54,0.36,2
LIC MF Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Nikhil Rungta,Open Ended,NIFTY 500 NA TRI,499.8,2.3,10.67,8.43,12.555,15.835,10.335,20.84,91783,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
LIC MF Multi Cap FundNAReg(G),Equity : Multi Cap,Dikshit Mittal,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,1383.2,2.07,15.54,10.56,12.555,15.835,10.335,34.0,52143,3.105,2.595,7.065,0.14,0.3,0.55,0.98,14.98,2
LIC MF Nifty 100 ETF,Equity : ETFs,Sumit Bhatnagar,Open Ended,NIFTY 100 NA TRI,699.2,0.28,268.65,6.97,13.34,20.86,10.335,5.0,426385,3.105,2.595,7.065,0.15,0.17,0.33,1.0,13.84,9
LIC MF Nifty 50 ETF,Equity : ETFs,Sumit Bhatnagar,Open Ended,NIFTY 50 NA TRI,817.5,0.06,268.42,8.71,13.64,21.02,10.335,12.0,540911,3.105,2.595,7.065,0.15,0.18,0.36,1.0,13.01,9
LIC MF Nifty 50 Index Fund(G),Equity : Index Funds,Sumit Bhatnagar,Open Ended,NIFTY 50 NA TRI,315.6,1.01,133.97,7.63,12.55,19.72,11.36,9.0,542977,3.105,2.595,7.065,0.15,0.16,0.31,1.0,12.99,22
LIC MF Nifty 8NA13 yr GNASec ETF,Debt : ETFs,Marzban Irani,Open Ended,Nifty 8NA13 yr GNASec,2471.2,0.16,28.13,12.6,8.7,6.04,7.28,0.0,160311,8.71,6.5,6.7,0.15,0.46,0.88,0.97,2.82,10
LIC MF Nifty Midcap 100 ETF,Equity : ETFs,Sumit Bhatnagar,Open Ended,Nifty Midcap 100 NA TRI,640.8,0.16,54.18,7.54,12.555,15.835,10.335,33.0,59956,3.105,2.595,7.065,0.15,0.09,0.15,1.0,18.36,1
LIC MF Nifty Next 50 Index Fund(G),Equity : Index Funds,Sumit Bhatnagar,Open Ended,NIFTY NEXT 50 NA TRI,91.2,0.9,47.75,0.32,14.54,21.21,12.56,71.0,134028,3.105,2.595,7.065,0.15,0.16,0.29,0.99,19.92,14
